
**** VECTORS ****
workingStat:vector Network.server.processor (#0 - General-0-20200518-14:28:24-165040),,workingStat:vector Network.server.disk (#0 - General-0-20200518-14:28:24-165040),,workingStat:vector Network.remote_server (#0 - General-0-20200518-14:28:24-165040),,completedTransactions:vector Network.server.processor (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[1] (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[2] (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[0] (#0 - General-0-20200518-14:28:24-165040),
0.359349801826,0.318349801825999921,1.154391407443,0.794041605616999875,1.976442167317,0.293101927917999936,2.056810899556,1,2.097810899556,2.097810899555999408,2.987220668371,2.987220668371000077,4.313185580342,4.313185580341999157
0.861722105045,0.82072210504499998,2.036415393132,0.172655759064999968,7.652950264911,0.45173527759099996,2.946220668371,2,6.435039530598,4.33722863104199872,6.599670729095,3.61245006072399997,7.017515732418,2.704330152075999462
1.642340239399,1.601340239398999713,4.968289782418,0.501663360096999964,9.46992141377,0.19251275180299998,4.272185580342,3,15.122440940487,8.687401409888998635,8.46128295879,1.861612229694999946,12.067712629177,5.05019689675899917
1.862759634067,1.821759634066999915,5.34601472524,0.251829855869999951,11.001176247512,0.185678837887999991,6.394039530598,4,15.893379414663,0.770938474175999917,15.130028368167,6.66874540937699931,14.786307058242,2.718594429064999915
2.056810899556,2.015810899555999562,5.89824867554,0.542510779281999864,14.434915711347,0.182724726954999971,6.558670729095,5,18.551626149057,2.658246734393999937,21.541834934069,6.41180656590199935,15.514580743793,0.728273685550999912
2.946220668371,2.905220668370999332,11.761879922094,0.340781682513000004,17.562020162636,0.133655548514999999,6.976515732418,6,19.105975905935,0.55434975687800003,25.244771867777,3.702936933708000017,21.945042632237,6.43046188844400033
4.272185580342,4.231185580342000192,12.584222614216,0.046418904149999995,17.915910594684,0.018634587139999998,8.42028295879,7,21.118704368728,2.012728462792999541,27.219507037018,1.974735169240999781,24.68902574618,2.743983113942999972
4.465626422321,4.42462642232099943,13.313141592111,0.426409404027999981,18.268774238119,0.329673740264999957,12.026712629177,8,25.079771375808,3.96106700707999957,31.628952455884,4.409445418865999482,26.368721516694,1.679695770513999868
5.09318486937,5.052184869370000425,14.267031079955,0.22253070067699998,18.492306259104,0.070862011824999987,14.745307058242,9,31.235820574731,6.15604919892300014,32.357960380248,0.729007924363999966,38.434936766483,12.06621524978899977
5.354737896258,5.31373789625799906,16.935872617874,0.698674012264000053,26.742818493296,0.896156967555999935,15.081440940487,10,31.450784671116,0.214964096384999968,34.209219972283,1.851259592034999891,,
6.394039530598,6.353039530598000055,18.325368363356,0.697905318507999968,28.838643364875,0.189700978919000006,15.089028368167,11,31.891210969629,0.440426298512999967,36.767361336217,2.558141363933999367,,
6.558670729095,6.5176707290950002,18.873127480623,0.416712806936999967,36.320098058277,0.026031144701999998,15.473580743793,12,35.015334795897,3.124123826267999767,38.000744974272,1.233383638054999837,,
6.976515732418,6.935515732417998755,19.162059221071,0.253328338057999923,36.752293234235,0.115068064229999988,15.852379414663,13,38.691730025695,3.676395229797999582,40.742678792148,2.7419338178760002,,
7.16021498732,7.11921498731999944,20.254789622874,0.957883992615999875,37.622730146615,0.415030446361999925,18.510626149057,14,,,,,,
8.42028295879,8.37928295879000016,24.136706932314,0.087624159980000004,38.508449629425,0.001411962147999999,19.064975905935,15,,,,,,
9.236408661967,9.19540866196700076,24.590983414265,0.193134300480999997,40.25321530014,0.982542953313999985,21.077704368728,16,,,,,,
10.774497409624,10.73349740962400029,25.698652869166,0.044613680776000003,40.532649808337,0.254766243469000007,21.500834934069,17,,,,,,
11.420098239581,11.37909823958099758,26.410313261658,0.516099497314999931,41.809068759774,0.17778720823599997,21.904042632237,18,,,,,,
12.026712629177,11.98571262917699793,26.78752377903,0.335944309725999977,,,24.64802574618,19,,,,,,
12.536803710066,12.49580371006599927,29.4682689842,0.017198077926999996,,,25.038771375808,20,,,,,,
12.885732188083,12.84473218808300028,32.526586438575,1.570744618500000016,,,25.203771867777,21,,,,,,
14.043500379278,14.00250037927800043,33.187544479494,0.019889220445000001,,,26.327721516694,22,,,,,,
14.088278843531,14.04727884353100001,35.241867939861,0.600972156751999883,,,27.178507037018,23,,,,,,
14.211190984392,14.17019098439200056,35.289429063309,0.029595092524999998,,,31.194820574731,24,,,,,,
14.745307058242,14.70430705824199782,38.283124369639,0.241439219940000003,,,31.409784671116,25,,,,,,
15.081440940487,15.04044094048699868,39.555542570267,0.450758887782999992,,,31.587952455884,26,,,,,,
15.089028368167,15.04802836816699946,40.305123303469,0.268977261235999964,,,31.850210969629,27,,,,,,
15.473580743793,15.4325807437930002,,,,,32.316960380248,28,,,,,,
15.852379414663,15.81137941466299772,,,,,34.168219972283,29,,,,,,
16.23619860561,16.1951986056099954,,,,,34.974334795897,30,,,,,,
17.387364614121,17.34636461412100053,,,,,36.726361336217,31,,,,,,
17.626463044848,17.585463044847998,,,,,37.959744974272,32,,,,,,
17.856276007544,17.81527600754399988,,,,,38.393936766483,33,,,,,,
17.898100497854,17.85710049785399882,,,,,38.650730025695,34,,,,,,
18.380444247279,0.423533652594999974,,,,,40.701678792148,35,,,,,,
18.455414673686,0.498504079001999997,,,,,,,,,,,,
18.510626149057,0.553715554372999906,,,,,,,,,,,,
18.907730883013,0.374424623908999996,,,,,,,,,,,,
19.064975905935,0.53166964683100004,,,,,,,,,,,,
19.295905630258,0.762599371154000003,,,,,,,,,,,,
21.077704368728,2.544398109623999805,,,,,,,,,,,,
21.500834934069,2.967528674965000045,,,,,,,,,,,,
21.904042632237,3.370736373132999992,,,,,,,,,,,,
24.048082772334,5.514776513230000155,,,,,,,,,,,,
24.396849113784,5.86354285468000033,,,,,,,,,,,,
24.64802574618,6.114719487075999965,,,,,,,,,,,,
25.038771375808,6.50546511670400026,,,,,,,,,,,,
25.203771867777,6.670465608673000065,,,,,,,,,,,,
25.65303918839,7.119732929286000075,,,,,,,,,,,,
25.80566152574,7.27235526663599959,,,,,,,,,,,,
25.893213764343,7.35990750523899881,,,,,,,,,,,,
26.327721516694,7.79441525758999984,,,,,,,,,,,,
26.450579469304,0.040857952609999997,,,,,,,,,,,,
27.178507037018,0.768785520323999934,,,,,,,,,,,,
28.607942385956,2.198220869262000212,,,,,,,,,,,,
29.450070906273,3.040349389579000125,,,,,,,,,,,,
30.954841820075,4.54512030338099924,,,,,,,,,,,,
31.194820574731,4.78509905803699984,,,,,,,,,,,,
31.210811094354,4.80108957765999908,,,,,,,,,,,,
31.409784671116,0.132964096385000007,,,,,,,,,,,,
31.587952455884,0.311131881152999943,,,,,,,,,,,,
31.850210969629,0.573390394897999919,,,,,,,,,,,,
32.316960380248,1.040139805516999691,,,,,,,,,,,,
33.166655259049,1.889834684318000047,,,,,,,,,,,,
34.168219972283,2.891399397552000027,,,,,,,,,,,,
34.639895783109,3.36307520837799954,,,,,,,,,,,,
34.974334795897,3.697514221166000132,,,,,,,,,,,,
35.258833970784,3.982013396052999515,,,,,,,,,,,,
36.253066913575,4.976246338843999675,,,,,,,,,,,,
36.596225170005,5.31940459527399943,,,,,,,,,,,,
36.726361336217,5.44954076148600028,,,,,,,,,,,,
37.166699700253,5.88987912552200041,,,,,,,,,,,,
37.223231985677,5.946411410946000205,,,,,,,,,,,,
37.959744974272,6.682924399540999235,,,,,,,,,,,,
38.040685149699,6.763864574968000175,,,,,,,,,,,,
38.393936766483,7.117116191752000235,,,,,,,,,,,,
38.466037667277,7.18921709254600036,,,,,,,,,,,,
38.650730025695,7.373909450963999715,,,,,,,,,,,,
39.103783682484,7.826963107753000375,,,,,,,,,,,,
39.229672346826,7.952851772095000235,,,,,,,,,,,,
39.36581104212,8.08899046738899938,,,,,,,,,,,,
40.035146042233,0.564409763717999887,,,,,,,,,,,,
40.236883564868,0.766147286352999887,,,,,,,,,,,,
40.701678792148,0.407463492007999914,,,,,,,,,,,,
41.590281551538,1.296066251397999911,,,,,,,,,,,,
